system:index,ARVI,B11,B12,B2,B3,B4,B5,B6,B7,B8,DVI,GRVI,HH,HV,IRECI,LAI,MTCI,NDVI,REIP,RVI,VH,VV,agbd,random,.geo
202005_078E_024N_963,0.86711407,1139.0,573.0,117.0,264.0,222.0,558.0,1456.0,1699.0,1771.0,1470.0,0.106529206,6840,4049,3617.6646,6.4674635,2.8408551,0.74347335,716.6667,6.79646,-17.66500590846324,-11.178979862460908,269.759857,9.124063858689802E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.74764013382375,29.67191507364421]}"
202009_078E_024N_50,0.8370502,959.0,443.0,220.5,444.5,321.5,652.5,1751.5,2158.5,2378.5,2070.5,0.15391138,7505,4173,4374.3193,6.4827642,4.001009,0.7414193,719.19543,6.7456865,-15.992662581396292,-10.393473155465474,157.644928,3.3198087758690153E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.76858135534772,29.71294475986248]}"
202005_078E_024N_306,0.8891455,1552.0,665.0,182.0,440.0,277.0,822.0,2420.0,2800.0,2954.0,2708.0,0.25,7194,3988,7443.817,7.641999,3.4842658,0.83638513,717.60913,11.223826,-15.066671345266457,-8.475192432599169,96.0414047241211,7.49585128871133E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.74951241550009,29.70847967858344]}"
202010_078E_024N_103,0.77637243,1466.5,865.0,261.0,538.0,468.5,888.0,1845.0,2079.5,2187.5,1548.5,0.06774635,8890,7018,3114.8662,5.317954,2.739499,0.63907284,715.7975,4.5421753,-14.304107116330858,-8.888607033019955,384.111969,0.0016269059900382299,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.7389285371215,29.728231831597284]}"
202009_078E_024N_543,0.854229,1407.0,638.0,203.0,483.0,378.0,873.0,2306.0,2776.0,2937.0,2631.0,0.13846155,5300,3025,5890.033,6.823006,3.4935484,0.746635,719.0442,6.89375,-17.582627933834733,-12.124814047985154,296.2918701171875,0.0016564089169093243,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.79611514747958,29.67958356202229]}"
202005_078E_024N_365,0.84632266,2264.0,1129.5,296.0,686.5,441.0,1253.0,3350.0,3891.5,3972.5,3082.5,0.19430804,9529,4511,6828.8467,6.904312,3.3119159,0.77533305,717.1559,7.912308,-15.46755004478697,-9.279519757541198,86.561943,0.0018318345855290463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.76531038864758,29.70569514976406]}"
202007_078E_024N_75,0.784114,1620.0,874.5,298.0,556.5,425.5,946.5,2088.5,2354.5,2417.5,1817.0,0.088095754,6016,3478,3900.8774,5.7861404,3.0124888,0.68328226,716.7975,5.373498,-18.906833770432865,-13.049725150634904,287.746368,0.0018838358595040239,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.7559580501121,29.73064896009332]}"
202005_078E_024N_756,0.8955823,509.0,241.0,68.0,174.0,119.0,313.0,974.0,1233.0,1094.0,976.0,0.19452055,7054,5275,3389.2405,7.0623627,4.3313255,0.8147175,720.0,9.794326,-15.56319958698478,-9.53097237370014,325.707367,0.0021860542640511627,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.77174774661022,29.686353494448095]}"
202009_078E_024N_296,0.83741933,1202.0,557.0,198.0,413.0,366.0,768.0,2038.0,2344.0,2241.0,1868.0,0.13810557,6400,4011,5238.5273,6.3507447,3.3687944,0.7380952,718.17535,6.6363635,-17.847153200262735,-11.96422923899319,46.17143630981445,0.0022945291702108905,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.79361241021091,29.69445041788049]}"
202005_078E_024N_1038,0.85784656,1216.0,619.0,202.0,588.0,343.0,958.0,2292.0,2580.0,2656.0,2312.0,0.26350605,15881,5258,5327.9175,6.885021,2.7240205,0.772394,715.7496,7.7871146,-14.632922109807087,-8.52471479481535,255.259018,0.00258332699109709,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.75003737136997,29.666072133809397]}"
